"","Entry.ID","Jurisdiction","Date.announced","Date.implemented","Intervention.category","Intervention..type","Intervention.summary","Primary.source..news.release..or.specific.resource.","Secondary..source","Action","Level","Indigenous..population.group","Date"
"11","CAN216","Can.","2020-11-20",2020-11-20,"Case management","Case management — other","Who: Indigenous Services Canada
What: Announced $2.3 million in immediate funding to support the Opaskwayak Cree Nation (located in Manitoba) community's response to the pandemic and to ensure necessary resources are in place at the Rod McGillivray Personal Care Home to address the current outbreak and prevent and reduce the spread of COVID-19. Also announced $120.37 million in immediate funding to support the response to the pandemic in Indigenous communities and organizations in Alberta ($52 million) and Saskatchewan ($68 million).This funding will provide support for vulnerable populations, support for long-term care homes, deploying additional staff in communities with outbreaks, strengthening mental health services and additional isolation and screening spaces where needed.
Effective until: ","https://www.canada.ca/en/indigenous-services-canada/news/2020/11/government-of-canada-covid-19-update-for-indigenous-peoples-and-communities1.html","Not applicable","Not applicable","Regional","Yes",2020-11-20
"12","CAN224","Can.","2020-11-20",2020-11-20,"Public information","Public information — projections","Who: Public Health Agency of Canada
What: Updated projections for cases and critical care cases
Effective until:","https://www.canada.ca/content/dam/phac-aspc/documents/services/diseases-maladies/coronavirus-disease-covid-19/epidemiological-economic-research-data/update-covid-19-canada-epidemiology-modelling-20201120-eng.pdf","Not applicable","Not applicable","Federal","No",2020-11-20
"13","CAN226","Can.","2020-11-20",2020-11-20,"Financial and economic","Financial and economic — research and development","Who: Health Canada
What: Authorized Bamlanivimab for use in treatment of adults and pediatric patients 12 years of age or older with mild to moderate COVID-19
Effective until:","https://hpr-rps.hres.ca/reg-content/regulatory-decision-summary-detailTwo.php?linkID=RDS00719","https://healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2020/74573a-eng.php","Not applicable","Federal","No",2020-11-20
"14","CAN242","Can.","2020-11-20",2020-11-20,"Financial and economic","Financial and economic — assistance","Who: Indigenous Services Canada
What: Announced $120 million in funding to support Alberta and Saskatchewan Indigenous communities and organizations and address the increasing needs during outbreaks; allocated $68 million to Saskatchewan and $52 million to Alberta
Effective until:","https://www.canada.ca/en/indigenous-services-canada/news/2020/11/government-of-canada-is-providing-immediate-assistance-to-indigenous-communities-and-organizations-in-alberta-and-saskatchewan-to-address-the-covid.html","Not applicable","Not applicable","Provincial/territorial","Yes",2020-11-20
"15","CAN205","Can.","2020-11-02",2020-11-21,"Travel","Travel — self-isolation","Who: Public Health Agency of Canada
What: Announced new mandatory requirements for travellers to Canada to submit information (e.g., contact information, self-assessment, quarantine plan) pre- and post-arrival via ArriveCAN or by calling the 1-833-641-0343 toll-free number; they will not be able to revert to using ArriveCAN; travellers who do not submit the mandatory information required after they have crossed the border will be considered a high priority for follow-up by law enforcement
Effective until: ","https://www.canada.ca/en/public-health/news/2020/11/government-of-canada-announces-new-mandatory-requirements-for-travellers-to-canada.html","Not applicable","Tightening","Federal","No",2020-11-21
"16","CAN219","Can.","2020-11-25",2020-11-25,"Case management","Case management — other","Who: Government of Canada
What: Announced $19.36 million in immediate funding to support the Government of Nunavut, Inuit communities and Inuit organizations in their response to the pandemic; this funding will support immediate needs and protection measures to help limit further spread in the region and also support the emergency response and preparedness plans in place
Effective until: ","https://www.canada.ca/en/indigenous-services-canada/news/2020/11/government-of-canada-is-providing-immediate-assistance-to-territorial-government-communities-and-inuit-partners-in-nunavut-to-address-the-covid-19-.html","https://www.canada.ca/en/indigenous-services-canada/news/2020/11/government-of-canada-covid-19-update-for-indigenous-peoples-and-communities2.html","Not applicable","Provincial/territorial","Yes",2020-11-25
"17","CAN243","Can.","2020-11-25",2020-11-25,"Financial and economic","Financial and economic — assistance","Who: Indigenous Services Canada
What: Announced $19.36 million in funding to support the Government of Nunavut, Inuit communities and Inuit organizations in their response to the pandemic
Effective until:","https://www.canada.ca/en/indigenous-services-canada/news/2020/11/government-of-canada-is-providing-immediate-assistance-to-territorial-government-communities-and-inuit-partners-in-nunavut-to-address-the-covid-19-.html","Not applicable","Not applicable","Provincial/territorial","Yes",2020-11-25
"18","CAN223","Can.","2020-12-11",2020-12-01,"Health services","Health services — telemedicine/virtual care","Who: Indigenous Services Canada
What: Launched the Alberta Indigenous Virtual Care Clinic offering health care services virtually
Effective until:","https://www.canada.ca/en/indigenous-services-canada/news/2020/12/alberta-indigenous-virtual-care-clinic-celebrates-the-successful-launch-of-their-new-service.html","Not applicable","Not applicable","Provincial/territorial","Yes",2020-12-01
"19","CAN238","Can.","2020-12-07",2020-12-07,"Vaccine","Vaccine — purchasing and allocation","Who: Government of Canada
What: Signed an agreement with Moderna to buy an additional 20 million doses of its COVID-19 vaccine, bringing the total contract to 40 million doses
Effective until:","https://investors.modernatx.com/news-releases/news-release-details/canada-exercises-increased-option-total-40-million-doses-mrna","https://www.canada.ca/en/public-services-procurement/services/procuring-vaccines-covid19.html","Not applicable","Federal","No",2020-12-07
"20","CAN221","Can.","2020-12-09",2020-12-09,"Vaccine","Vaccine — regulatory approval","Who: Health Canada
What: Authorized the Pfizer-BioNTech COVID-19 vaccine for use in people 16 years of age and older
Effective until:","https://www.canada.ca/en/health-canada/news/2020/12/health-canada-authorizes-first-covid-19-vaccine0.html","Not applicable","Not applicable","Federal","No",2020-12-09
"21","CAN222","Can.","2020-12-10",2020-12-10,"Case management","Case management — contact tracing","Who: Health Canada
What: Announced that the COVID Alert app has been updated with 2 new features: the first update allows users to clear the screen that indicates exposure to COVID-19 (after receiving a negative COVID-19 test result, the screen can be cleared enabling the app to alert the user of a new exposure); the second feature allows users to turn COVID Alert on and off without disabling Bluetooth
Effective until:","https://www.canada.ca/en/health-canada/news/2020/12/covid-alert-app-updated-to-serve-canadians-better.html","Not applicable","Not applicable","Federal","No",2020-12-10
"22","CAN225","Can.","2020-12-11",2020-12-11,"Public information","Public information — projections","Who: Public Health Agency of Canada
What: Updated projections for cases and critical care cases
Effective until:","https://www.canada.ca/content/dam/phac-aspc/documents/services/diseases-maladies/coronavirus-disease-covid-19/epidemiological-economic-research-data/update-covid-19-canada-epidemiology-modelling-20201211-en.pdf","Not applicable","Not applicable","Federal","No",2020-12-11
"23","CAN236","Can.","2020-12-18",2020-12-18,"Vaccine","Vaccine — population to be vaccinated","Who: Public Health Agency of Canada
What: Released priority populations for vaccination in accordance with preliminary National Advisory Committee on Immunization recommendations: in Stage 1, prioritized residents and staff of shared living settings who provide care for seniors, adults 70 years of age and older, health care workers who have direct contact with patients and those who work in health care settings and adults in Indigenous communities; in Stage 2, prioritized health care workers not included in the initial rollout, residents and staff of all other congregate settings (e.g., quarters for migrant workers, correctional facilities, homeless shelters) and essential workers
Effective until:","https://www.canada.ca/en/public-health/services/immunization/national-advisory-committee-on-immunization-naci/guidance-prioritization-initial-doses-covid-19-vaccines.html","https://www.canada.ca/en/public-health/services/immunization/national-advisory-committee-on-immunization-naci/guidance-key-populations-early-covid-19-immunization.html","Not applicable","Federal","Yes",2020-12-18
"24","CAN227","Can.","2020-12-18",2020-12-20,"Financial and economic","Financial and economic — assistance","Who: Department of Finance Canada
What: Announced increase of the maximum wage subsidy rate to 75% 
Effective until: 2021-03-13","https://www.canada.ca/en/department-finance/news/2020/12/government-announces-wage-subsidy-rate-increase-to-75-per-cent.html","Not applicable","Not applicable","Federal","No",2020-12-20
"25","CAN228","Can.","2020-12-20",2020-12-20,"Travel","Travel — restrictions","Who: Public Health Agency of Canada
What: Suspended all flights for 72 hours from the United Kingdom in response to the emergence of a new genetic variant of the COVID-19 virus
Effective until: 2020-12-23","https://www.canada.ca/en/public-health/news/2020/12/canada-suspends-flights-from-the-united-kingdom-for-72-hours.html","Not applicable","Tightening","Federal","No",2020-12-20
"26","CAN229","Can.","2020-12-23",2020-12-23,"Vaccine","Vaccine — regulatory approval","Who: Health Canada
What: Authorized the Moderna COVID-19 vaccine for use in people 18 years of age and older
Effective until:","https://www.canada.ca/en/health-canada/news/2020/12/health-canada-authorizes-moderna-covid-19-vaccine.html","Not applicable","Not applicable","Federal","No",2020-12-23
"27","CAN230","Can.","2020-12-24",2020-12-23,"Travel","Travel — restrictions","Who: Public Health Agency of Canada
What: Extended suspension of all flights from the United Kingdom for an additional 14 days
Effective until: 2021-01-06","https://www.canada.ca/en/health-canada/news/2020/12/statement-on-the-variants-of-covid-19-virus-found-in-the-united-kingdom-and-south-africa.html","Not applicable","Tightening","Federal","No",2020-12-23
"28","CAN231","Can.","2020-12-24",2020-12-24,"Travel","Travel — restrictions","Who: Public Health Agency of Canada
What: Announced all travellers who have been in United Kingdom and South Africa within the period of 14 days before the day on which they seek entry into Canada will be subject to secondary screening and enhanced measures, including increased scrutiny of quarantine plans; this is in response to the emergence of new COVID-19 variants in these regions
Effective until:","https://www.canada.ca/en/health-canada/news/2020/12/statement-on-the-variants-of-covid-19-virus-found-in-the-united-kingdom-and-south-africa.html","Not applicable","Tightening","Federal","No",2020-12-24
"29","CAN232","Can.","2020-12-31",2021-01-07,"Travel","Travel — restrictions","Who: Transport Canada
What: Announced all air passengers 5 years of age or older will be required to have a negative COVID-19 test before travelling into Canada and will be required to have this proof in hand at time of boarding; tests must be a COVID-19 molecular test (e.g., PCR or LAMP) and be taken within 72 hours of the traveller’s scheduled departure to Canada
Effective until:","https://www.canada.ca/en/transport-canada/news/2020/12/pre-departure-covid-19-testing-and-negative-results-to-be-required-for-all-air-travellers-coming-to-canada.html","https://tc.canada.ca/en/initiatives/covid-19-measures-updates-guidance-issued-transport-canada/covid-19-pre-departure-testing-transport-canada-interim-order","Tightening","Federal","No",2021-01-07
"30","CAN233","Can.","2021-01-06",2021-01-08,"Vaccine","Vaccine — phase changes and milestones","Who: Correctional Services of Canada
What: Announced vaccination of about 600 older, medically vulnerable federal inmates as recommended by the National Advisory Committee on Immunization
Effective until:","https://www.canada.ca/en/correctional-service/news/2021/01/correctional-service-canada-covid-19-vaccine-roll-out.html","Not applicable","Not applicable","Federal","No",2021-01-08
"31","CAN240","Can.","2021-01-08",2021-01-08,"Health workforce","Health workforce — safety guidelines","Who: Government of Canada
What: Released interim guidance for infection prevention and control in acute settings; includes guidelines for health care worker safety and training and infection prevention and control measures
Effective until: ","https://www.canada.ca/en/public-health/services/diseases/2019-novel-coronavirus-infection/health-professionals/infection-prevention-control-covid-19-second-interim-guidance.html#a7","Not applicable","Not applicable","Provincial/territorial","No",2021-01-08
"32","CAN237","Can.","2021-01-12",2021-01-12,"Vaccine","Vaccine — purchasing and allocation","Who: Government of Canada
What: Signed an agreement with Pfizer to buy an additional 20 million doses of its COVID-19 vaccine, bringing the contract to a total of up to of 76 million doses
Effective until:","https://pm.gc.ca/en/news/speeches/2021/01/12/prime-ministers-remarks-covid-19-situation-changes-ministry-and-new","https://www.canada.ca/en/public-services-procurement/services/procuring-vaccines-covid19.html","Not applicable","Federal","No",2021-01-12
"33","CAN239","Can.","2021-01-12",2021-01-12,"Health workforce","Health workforce — change in practice","Who: Government of Canada
What: Released webinar and guidance documents on COVID-19 vaccines for health care providers; includes requirements for handling, storage and safely providing the COVID-19 vaccine
Effective until: ","https://www.canada.ca/en/public-health/services/diseases/2019-novel-coronavirus-infection/health-professionals.html","Not applicable","Not applicable","Provincial/territorial","No",2021-01-12
"34","CAN234","Can.","2021-01-13",2021-01-13,"Financial and economic","Financial and economic — research and development","Who: Canadian Institutes of Health Research
What: Invested $1 million to support the COVID-19 Evidence Network, which will bring together experts to collaborate and rapidly synthesize the best available evidence across the full breadth of Canada's COVID-19 pandemic response
Effective until:","https://www.canada.ca/en/institutes-health-research/news/2021/01/government-of-canada-invests-1m-in-a-covid-19-evidence-network-to-support-decision-making.html","Not applicable","Not applicable","Federal","No",2021-01-13
"35","CAN244","Can.","2021-01-13",2021-01-13,"Health services","Health services — other","Who: Indigenous Services Canada
What: Announced $186.8 million over 2 years to support the needs and gaps in long-term care facilities, and to provide additional home care in Indigenous communities
Effective until: 2023-01","https://www.canada.ca/en/indigenous-services-canada/news/2021/01/government-of-canada-announces-further-reinforcement-of-covid-19-supports-for-indigenous-communities.html","Not applicable","Not applicable","Federal","Yes",2021-01-13
"36","CAN324","Can.","2021-01-15",2021-01-15,"Public information","Public information — projections","Who: Public Health Agency of Canada
What: Updated projections for cases and critical care cases
Effective until:","https://www.canada.ca/content/dam/phac-aspc/documents/services/diseases-maladies/coronavirus-disease-covid-19/epidemiological-economic-research-data/update-covid-19-canada-epidemiology-modelling-20210115-en.pdf","Not applicable","Not applicable","Federal","No",2021-01-15
"37","CAN245","Can.","2021-01-20",2021-01-20,"Travel","Travel — restrictions","Who: Government of Canada
What: Extended the temporary travel restrictions for all non-US travellers, unless their travel is for non-discretionary reasons
Effective until: 2021-02-21","https://orders-in-council.canada.ca/attachment.php?attach=40171&lang=en","Not applicable","Tightening","Federal","No",2021-01-20
"38","CAN246","Can.","2021-01-20",2021-01-20,"Travel","Travel — restrictions","Who: Government of Canada
What: Extended the temporary travel restrictions for US travellers, unless their travel is for non-discretionary reasons
Effective until: 2021-02-21","https://orders-in-council.canada.ca/attachment.php?attach=40170&lang=en","Not applicable","Tightening","Federal","No",2021-01-20
"39","CAN248","Can.","2021-01-22",2021-01-22,"Health services","Health services — other","Who: Public Services and Procurement Canada
What: Deployed 2 federal Mobile Health Units (MHU), in response to a provincial request for assistance to help relieve pressure on Ontario's strained hospital capacity 
Effective until: 2021-05-01","https://www.canada.ca/en/public-safety-canada/news/2021/01/government-of-canada-provides-mobile-health-units-to-assist-ontario-with-covid-19-response.html","Not applicable","Not applicable","Federal","No",2021-01-22
"40","CAN252","Can.","2021-01-25",2021-01-25,"Distancing","Distancing — work from home","Who: House of Commons
What: Members of the House of Commons may participate in House proceedings either in person or by video conference
Effective until: 2021-06-23","https://www.ourcommons.ca/Content/Newsroom/Articles/Statusupdate1to32-EN-Jan-29.pdf","Not applicable","Tightening","Federal","No",2021-01-25
"41","CAN247","Can.","2021-01-31",2021-01-31,"Travel","Travel — restrictions","Who: Transport Canada
What: Suspended all flights to and from Mexico and Caribbean countries
Effective until: 2021-04-30","https://www.canada.ca/en/transport-canada/news/2021/01/expansion-of-international-flight-restrictions-at-canadian-airports.html","Not applicable","Tightening","Federal","No",2021-01-31
"42","CAN253","Can.","2021-01-29",2021-02-01,"Public information","Public information — masks","Who: House of Commons
What: Announced mask requirement in the House of Commons for any person, including members and their staff, political research office employees, administration employees, members of the Parliamentary Press Gallery and parliamentary business visitors
Effective until: 2021-06-23","https://www.ourcommons.ca/Content/Newsroom/Articles/Statement-BOIE-Masks-e.pdf","Not applicable","Tightening","Federal","No",2021-02-01
"43","CAN264","Can.","2021-01-29",2021-02-01,"Travel","Travel — restrictions","Who: Prime Minister
What: Announced that all international passenger flights must land either at the Vancouver, Calgary, Toronto or Montréal airports
Effective until: ","https://pm.gc.ca/en/news/speeches/2021/01/29/prime-ministers-remarks-updating-canadians-covid-19-situation-and-new","Not applicable","Tightening","Federal","No",2021-02-01
"44","CAN249","Can.","2021-02-04",2021-02-04,"Travel","Travel — restrictions","Who: Transport Canada
What: Pleasure craft vessels prohibited in all Canadian waters
Effective until: 2022-02-28","https://www.canada.ca/en/transport-canada/news/2021/02/government-of-canada-announces-one-year-ban-for-pleasure-craft-and-cruise-vessels.html","Not applicable","Tightening","Federal","No",2021-02-04
"45","CAN277","Can.","2021-02-11",2021-02-11,"Health workforce","Health workforce — safety guidelines","Who: Public Health Agency of Canada
What: Released vaccine toolkit for health care professionals, including guidance for managing vaccination clinics and administering vaccines
Effective until: ","https://www.canada.ca/content/dam/phac-aspc/documents/services/diseases-maladies/2019-novel-coronavirus-infection/health-professionals/covid-19-healthcare-professionals-vaccine-toolkit.pdf","Not applicable","Not applicable","Federal","No",2021-02-11
"46","CAN273","Can.","2021-02-14",2021-02-14,"Travel","Travel — restrictions","Who: Government of Canada
What: Extended the temporary travel restrictions for all non-US travellers, unless their travel is for non-discretionary reasons
Effective until: 2021-04-21","https://orders-in-council.canada.ca/attachment.php?attach=40251&lang=en","Not applicable","Not applicable","Federal","No",2021-02-14
"47","CAN274","Can.","2021-02-14",2021-02-14,"Travel","Travel — restrictions","Who: Government of Canada
What: Extended the temporary travel restrictions for US travellers, unless their travel is for non-discretionary reasons
Effective until: 2021-03-21","https://orders-in-council.canada.ca/attachment.php?attach=40250&lang=en","Not applicable","Not applicable","Federal","No",2021-02-14
"48","CAN258","Can.","2021-02-12",2021-02-15,"Travel","Travel — restrictions","Who: Public Health Agency of Canada
What: Announced that all travellers arriving in Canada by land will be required to provide proof of a negative COVID-19 molecular test result taken in the United States within 72 hours of pre-arrival, or a proof of a positive test result within 14 and 90 days prior to arrival
Effective until: ","https://www.canada.ca/en/public-health/news/2021/02/additional-testing-and-more-stringent-quarantine-requirements-for-travel-to-canada.html","Not applicable","Tightening","Federal","No",2021-02-15
"49","CAN325","Can.","2021-02-19",2021-02-16,"Public information","Public information — projections","Who: Public Health Agency of Canada
What: Updated projections for cases and critical care cases
Effective until:","https://www.canada.ca/content/dam/phac-aspc/documents/services/diseases-maladies/coronavirus-disease-covid-19/epidemiological-economic-research-data/update-covid-19-canada-epidemiology-modelling-20210219-en.pdf","Not applicable","Not applicable","Federal","No",2021-02-16
"50","CAN257","Can.","2021-02-19",2021-02-19,"Financial and economic","Financial and economic — assistance","Who: Prime Minister
What: Extended the Canada Recovery Benefit and the Canada Recovery Caregiving Benefit for an additional 12 weeks
Effective until: 2021-05-14","https://pm.gc.ca/en/news/speeches/2021/02/19/prime-ministers-remarks-updating-canadians-covid-19-situation-g7-leaders","Not applicable","Not applicable","Federal","No",2021-02-19
"51","CAN260","Can.","2021-02-12",2021-02-22,"Travel","Travel — restrictions","Who: Public Health Agency of Canada
What: Announced that all travellers, with some exceptions, will be required to take a COVID-19 molecular test when they arrive in Canada before exiting the airport or crossing the border, and another at the end of their 14-day quarantine period; additionally, travellers will be required to submit their travel, contact information and suitable quarantine plan electronically via ArriveCAN before crossing the border or boarding a flight
Effective until: ","https://www.canada.ca/en/public-health/news/2021/02/additional-testing-and-more-stringent-quarantine-requirements-for-travel-to-canada.html","Not applicable","Tightening","Federal","No",2021-02-22
"52","CAN261","Can.","2021-02-12",2021-02-22,"Travel","Travel — self-isolation","Who: Public Health Agency of Canada
What: Announced that all travellers arriving by air, with limited exceptions, will be required to reserve a 3-night stay in a government-authorized hotel at their own cost while they await the results of their arrival test
Effective until: ","https://www.canada.ca/en/public-health/news/2021/02/additional-testing-and-more-stringent-quarantine-requirements-for-travel-to-canada.html","Not applicable","Not applicable","Federal","No",2021-02-22
"53","CAN266","Can.","2021-02-26",2021-02-26,"Vaccine","Vaccine — regulatory approval","Who: Health Canada
What: Authorized the AstraZeneca COVID-19 vaccine for use in people 18 years of age and older
Effective until: ","https://healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2021/75057a-eng.php","Not applicable","Not applicable","Federal","No",2021-02-26
"54","CAN267","Can.","2021-02-26",2021-02-26,"Vaccine","Vaccine — regulatory approval","Who: Health Canada
What: Authorized the COVIDSHIELD (manufactured by Serum Institute of India) vaccine for use in people 18 years of age and older
Effective until: ","https://healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2021/75063a-eng.php","Not applicable","Not applicable","Federal","No",2021-02-26
"55","CAN269","Can.","2021-02-26",2021-02-26,"Vaccine","Vaccine — purchasing and allocation","Who: Public Services and Procurement Canada
What: Announced that 2 million doses of the AstraZeneca COVID-19 vaccine have been secured
Effective until: ","https://www.canada.ca/en/public-services-procurement/news/2021/02/canada-to-receive-2-million-doses-of-astrazenecas-covid-19-vaccine-manufactured-by-the-serum-institute-of-india.html","Not applicable","Not applicable","Federal","No",2021-02-26
"56","CAN276","Can.","2021-03-01",2021-03-01,"Vaccine","Vaccine — implementation plans and frameworks","Who: National Advisory Committee on Immunization
What: Approved revised recommendations to defer 2nd dose of COVID-19 vaccines
Effective until: ","https://www.canada.ca/en/public-health/services/immunization/national-advisory-committee-on-immunization-naci/rapid-response-extended-dose-intervals-covid-19-vaccines-early-rollout-population-protection.html","Not applicable","Not applicable","Federal","No",2021-03-01
"57","CAN270","Can.","2021-03-03",2021-03-03,"Financial and economic","Financial and economic — assistance","Who: Department of Finance Canada
What: Maintained the Canada Emergency Wage Subsidy and Rent Subsidy rates
Effective until: 2021-06-05","https://www.canada.ca/en/department-finance/news/2021/03/government-announces-wage-and-rent-subsidy-amounts-to-remain-unchanged-through-to-june0.html","Not applicable","Not applicable","Federal","No",2021-03-03
"58","CAN268","Can.","2021-03-05",2021-03-05,"Vaccine","Vaccine — regulatory approval","Who: Health Canada
What: Authorized the Johnson & Johnson (Janssen Inc.) vaccine for use in people 18 years of age and older
Effective until: ","https://www.canada.ca/en/health-canada/news/2021/03/health-canada-authorizes-janssen-covid-19-vaccine.html","Not applicable","Not applicable","Federal","No",2021-03-05
"59","CAN272","Can.","2021-03-18",2021-03-18,"Financial and economic","Financial and economic — assistance","Who: Employment and Social Development Canada
What: Announced that workers claiming benefits from the Employment Insurance program, between 2020-09-27 and 20201-09-25, are able to access up to a maximum of 50 weeks of benefits
Effective until: 2021-09-25","https://www.canada.ca/en/employment-social-development/news/2021/03/c-24-royal-assent.html","Not applicable","Not applicable","Federal","No",2021-03-18
"60","CAN275","Can.","2021-03-19",2021-03-19,"Travel","Travel — restrictions","Who: Government of Canada
What: Extended the temporary travel restrictions for US travellers, unless their travel is for non-discretionary reasons
Effective until: 2021-04-21","https://orders-in-council.canada.ca/attachment.php?attach=40353&lang=en","Not applicable","Not applicable","Federal","No",2021-03-19
"61","CAN282","Can.","2021-03-24",2021-03-25,"Health workforce","Health workforce — supply management ","Who: Indigenous Services Canada
What: Deployed Canadian Armed Forces to accelerate the pace of immunization in northern Manitoba communities 
Effective until: 2021-06-30","https://www.canada.ca/en/indigenous-services-canada/news/2021/03/government-of-canada-to-provide-support-to-first-nations-communities-in-manitoba-to-accelerate-the-vaccination-campaign.html","Not applicable","Not applicable","Provincial/territorial","Yes",2021-03-25
